trialStress(2),trialStrain(2),FI_MT,r2Plus,d2Plus
   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.6166887828869818E-03,   0.6397059076698497E-04,   0.1963407595871742E-02,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1233377565773964E-02,   0.1279411815339699E-03,   0.4136579027853608E-02,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1850066348660946E-02,   0.1919117723009549E-03,   0.6519514295945599E-02,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2466755131547927E-02,   0.2558823630679399E-03,   0.9112213400147718E-02,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3083443914434909E-02,   0.3198529538349249E-03,   0.1191467634045996E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3700132697321891E-02,   0.3838235446019098E-03,   0.1492690311688233E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4316821480208873E-02,   0.4477941353688948E-03,   0.1814889372941482E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4933510263095854E-02,   0.5117647261358798E-03,   0.2158064817805744E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.5550199045982837E-02,   0.5757353169028648E-03,   0.2522216646281019E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.6166887828869819E-02,   0.6397059076698497E-03,   0.2907344858367306E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.6783576611756800E-02,   0.7036764984368346E-03,   0.3313449454064606E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.7400265394643783E-02,   0.7676470892038197E-03,   0.3740530433372918E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.8016954177530764E-02,   0.8316176799708047E-03,   0.4188587796292244E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.8633642960417746E-02,   0.8955882707377896E-03,   0.4657621542822580E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.9250331743304727E-02,   0.9595588615047745E-03,   0.5147631672963929E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.9867020526191709E-02,   0.1023529452271760E-02,   0.5658618186716294E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1048370930907869E-01,   0.1087500043038745E-02,   0.6190581084079668E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1110039809196567E-01,   0.1151470633805730E-02,   0.6743520365054056E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1171708687485266E-01,   0.1215441224572714E-02,   0.7317436029639456E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1233377565773964E-01,   0.1279411815339699E-02,   0.7912328077835867E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1295046444062662E-01,   0.1343382406106684E-02,   0.8528196509643293E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1356715322351360E-01,   0.1407352996873669E-02,   0.9165041325061730E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1418384200640058E-01,   0.1471323587640654E-02,   0.9822862524091180E-01,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1480053078928757E-01,   0.1535294178407639E-02,   0.1050166010673164E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1541721957217455E-01,   0.1599264769174624E-02,   0.1120143407298312E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1603390835506153E-01,   0.1663235359941609E-02,   0.1192218442284561E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1665059713794851E-01,   0.1727205950708594E-02,   0.1266391115631911E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1726728592083549E-01,   0.1791176541475579E-02,   0.1342661427340362E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1788397470372247E-01,   0.1855147132242564E-02,   0.1421029377409915E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1850066348660945E-01,   0.1919117723009549E-02,   0.1501494965840568E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1911735226949644E-01,   0.1983088313776534E-02,   0.1584058192632324E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1973404105238342E-01,   0.2047058904543519E-02,   0.1668719057785180E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2035072983527040E-01,   0.2111029495310504E-02,   0.1755477561299137E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2096741861815738E-01,   0.2175000086077489E-02,   0.1844333703174197E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2158410740104437E-01,   0.2238970676844474E-02,   0.1935287483410356E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2220079618393135E-01,   0.2302941267611459E-02,   0.2028338902007618E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2281748496681833E-01,   0.2366911858378444E-02,   0.2123487958965980E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2343417374970531E-01,   0.2430882449145429E-02,   0.2220734654285445E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2405086253259229E-01,   0.2494853039912414E-02,   0.2320078987966010E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2466755131547927E-01,   0.2558823630679399E-02,   0.2421520960007676E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2528424009836626E-01,   0.2622794221446384E-02,   0.2525060570410443E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2590092888125324E-01,   0.2686764812213369E-02,   0.2630697819174312E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2651761766414022E-01,   0.2750735402980354E-02,   0.2738432706299282E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2713430644702720E-01,   0.2814705993747339E-02,   0.2848265231785354E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2775099522991419E-01,   0.2878676584514324E-02,   0.2960195395632527E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2836768401280116E-01,   0.2942647175281309E-02,   0.3074223197840800E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2898437279568815E-01,   0.3006617766048294E-02,   0.3190348638410176E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2960106157857513E-01,   0.3070588356815279E-02,   0.3308571717340651E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3021775036146211E-01,   0.3134558947582263E-02,   0.3428892434632230E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3083443914434909E-01,   0.3198529538349249E-02,   0.3551310790284909E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3145112792723607E-01,   0.3262500129116234E-02,   0.3675826784298689E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3206781671012306E-01,   0.3326470719883219E-02,   0.3802440416673571E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3268450549301004E-01,   0.3390441310650204E-02,   0.3931151687409554E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3330119427589702E-01,   0.3454411901417188E-02,   0.4061960596506637E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3391788305878400E-01,   0.3518382492184174E-02,   0.4194867143964823E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3453457184167098E-01,   0.3582353082951158E-02,   0.4329871329784109E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3515126062455796E-01,   0.3646323673718143E-02,   0.4466973153964496E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3576794940744495E-01,   0.3710294264485129E-02,   0.4606172616505985E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3638463819033193E-01,   0.3774264855252113E-02,   0.4747469717408575E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3700132697321891E-01,   0.3838235446019098E-02,   0.4890864456672266E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3761801575610589E-01,   0.3902206036786083E-02,   0.5036356834297059E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3823470453899288E-01,   0.3966176627553069E-02,   0.5183946850282954E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3885139332187986E-01,   0.4030147218320053E-02,   0.5333634504629949E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3946808210476684E-01,   0.4094117809087038E-02,   0.5485419797338047E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4008477088765382E-01,   0.4158088399854023E-02,   0.5639302728407244E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
