trialStress(1),trialStrain(1),FI_LT,r1Plus,d1Plus
   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2115338973553553E-01,   0.1351980573672336E-03,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.4230677947107106E-01,   0.2703961147344671E-03,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.6346016920660659E-01,   0.4055941721017006E-03,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.8461355894214212E-01,   0.5407922294689342E-03,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1057669486776777E+00,   0.6759902868361678E-03,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1269203384132132E+00,   0.8111883442034013E-03,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1480737281487487E+00,   0.9463864015706348E-03,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1692271178842842E+00,   0.1081584458937868E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.1903805076198198E+00,   0.1216782516305102E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2115338973553553E+00,   0.1351980573672336E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2326872870908908E+00,   0.1487178631039569E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2538406768264264E+00,   0.1622376688406803E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2749940665619619E+00,   0.1757574745774036E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.2961474562974974E+00,   0.1892772803141270E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3173008460330330E+00,   0.2027970860508503E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3384542357685685E+00,   0.2163168917875737E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
   0.3596076255041040E+00,   0.2298366975242970E-02,   0.0000000000000000E+00,   0.1000000000000000E+01,   0.0000000000000000E+00
